service_id,date,exception_type
1,20200907,2
117701,20200907,2
118001,20200907,2
13201,20200907,2
14301,20200907,2
165801,20200907,2
165803,20200907,1
183803,20200906,2
209501,20200907,2
210402,20200905,2
210402,20200912,2
210403,20200906,2
210403,20200913,2
210602,20200905,2
210602,20200919,2
3,20200907,1
6301,20200907,2
